,_label,dcnt_catid,dcnt_device,dcnt_profile,dcnt_rule,net_access,net_buf_overflow,net_ddos,net_misc,net_scan,net_trojan,net_virus,net_web_attack,network_attack,ra_network_attack,ra_weak_password,ra_web_threat,sw_rate,sw_total
3d22cf0faf9c3c6c442b1e4568dadca8,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.9175635631,1
6e63ce57b28bc2a4b8b404df714bddc5,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.986142899191,6
a7692321403a2717cf6b388c786a431b,1,7,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,0.208333333333,0.0208333333333,0.770833333333,0.999052927292,48
caf4a8e37767745a310fac4f5bb47e42,1,3,2,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.25,0.5,0.25,0.999375733963,4
71024dc6002c4edae88fdf73a6181ed4,1,3,1,1,2,0.818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.181818181818,11,1.0,0.0,0.0,0.999272666791,11
db1b4f4f36090933279ea1617502b217,0,4,3,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.111111111111,0.0,0.888888888889,0.997421790574,9
6c1b0325a39a74e7c6190b880864f5ac,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999032526554,4
0f31281c6a9f609762ecfe70dfc25f25,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.910942389255,1
ef748e8a82a51ba28ad20b14fd8d6978,1,6,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.998810784223,37
a549a2476192ec0234d486fab60782e3,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0.0,0.0,0.998093171116,5
bd4123639e4e3bf5918ad78009d838cc,1,7,5,1,4,0.142857142857,0.714285714286,0.0,0.142857142857,0.0,0.0,0.0,0.0,7,0.466666666667,0.0,0.533333333333,0.994560234363,15
d984e32f5c3a9fdfcd8c2d6733f5b62a,1,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.99358807463,8
708ddccdb0d35af1434aa7e1239ecfc0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.994580635699,31
b2741b22b8407b06c455f37cc4bf52e6,1,5,5,1,3,0.0,0.571428571429,0.0,0.0,0.428571428571,0.0,0.0,0.0,7,0.411764705882,0.0,0.588235294118,0.99931477936,17
abad1022711b667cf96b14a4e8762e47,1,4,3,1,4,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,4,0.8,0.0,0.2,0.998898901071,5
6a29f384eca295532b86ff2a8eb6c0f7,1,3,3,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.333333333333,0.0,0.666666666667,0.979636448264,3
b704ad2bf91918142e129e1729a291bd,0,2,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.998145513501,5
9c5dd6d298d89effa43ae3e895512e11,1,4,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.639179717797,79
c3774699425f297fff004aa3cf6c5e62,1,2,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.5,0.0,0.5,0.99912443417,4
a531cfe50b5ab684b1c90e0cf48d20dd,1,7,5,4,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0.130434782609,0.130434782609,0.739130434783,0.998036276916,23
24d0b9ddd8dfc8b83283708f197fadae,1,7,8,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0652173913043,0.0,0.934782608696,0.999762306917,46
7dd0872f91e7a468438e3ee41e5646d9,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.964329466023,1
3c3eb091d5eaf8adcce7d140c0006e84,1,4,6,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.03125,0.0,0.96875,0.951375670206,32
924603cfdb6d3fba5ae24c1e8d64011e,1,4,3,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11,0.55,0.0,0.45,0.996789874949,20
ba7bc63123b9aadfcea8e14256cb66a6,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.867809337159,1
6dda1374a587ce9ee47cdc431064d5c3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999649929201,1
9e9fa9dc36607a2582c92fe3c90491f3,1,2,2,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,220,0.995475113122,0.0,0.00452488687783,0.998356105088,221
e131f5da971d8b25a4d4afd56e981c22,0,2,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.025,0.0,0.975,0.973708136845,40
6191424a27d5052c57fbafa0a2b391b6,1,2,3,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0.0,0.0,0.993549300822,5
88cfdd83d76afd62f9cb62052749241e,1,6,7,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.00342465753425,0.0,0.996575342466,0.999775349075,584
3ea5a16a57da922ad7e54959523b70a0,1,4,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.166666666667,0.0,0.833333333333,0.998921743066,6
3fa94286434f5910351fa9df4f5f34f2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.997323828871,1
a9bc088f2d7c8016cba76c97c7a99e8b,1,2,4,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0.888888888889,0.111111111111,0.0,0.999508060553,9
d342d606328411ee0d289200908533d5,0,3,2,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.740740740741,0.0,0.259259259259,0.928965818321,27
efe94dc5e220ba05421c5627f5d518b4,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999078425265,4
5f4af85d52129730510d42dedbb21cd2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.99840676512,1
53efc1424c8169675e505237c80db71c,0,2,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.895665294665,7
61f2e691824644232d986a9b1207fb9b,1,3,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999010568841,33
95ee5b94bac13dadc0ba5f8f9a9c432e,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.967023207957,1
c9931eef966dbc3fb5f49d10d403a11c,0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21,1.0,0.0,0.0,0.811880685969,21
391a60f9842d172990a2191f766f2da4,1,2,1,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.0,0.5,0.998381353189,2
3ca223769f9ceee21c088c1012b8c4b5,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.996878791496,2
412f4c1b61ee50c6c4df0fa8079447a6,1,3,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0.555555555556,0.0,0.444444444444,0.374813654217,9
b06fecc134916fd178436a57e972751f,1,5,5,1,4,0.0,0.0588235294118,0.0882352941176,0.0,0.0,0.0,0.0,0.852941176471,34,0.944444444444,0.0,0.0555555555556,0.99513526172,36
7914c1cf9d5e64e95e1c315945059c64,1,5,7,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,0.25,0.0,0.75,0.858502947719,24
c5d9e7469f6d46d055c8cf03f17627bc,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.974819186071,15
2eb6cfaef03648164aae1164dac96d81,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.990894859794,1
25f01863767dade8e9dfb4b001d12d2a,0,2,1,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.318181818182,0.0,0.681818181818,0.958735047722,22
38bc282422052d9b64065ebe6857b214,1,4,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.142857142857,0.0,0.857142857143,0.999789632721,7
c40837cf16003bc546941a71af6fb84c,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.99757580234,1
8fe1e6fb41528db7a563e11381def90a,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.997975677294,2
31d00a94c66155064f30c6599d80534a,1,2,3,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.222222222222,0.0,0.777777777778,0.998371178045,9
ce06e34bf942e24086105484bc38fafa,1,6,5,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0.645161290323,0.010752688172,0.344086021505,0.99874676743,93
e20030a20c5dc9da30efbaca462e6aeb,1,6,7,1,3,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,8,0.242424242424,0.0,0.757575757576,0.99007634791,33
d5749b5566c2a8ba2fee173ef0dfa8c5,1,3,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00634249471459,0.993657505285,0.585617131327,473
d4a8ba12c85c9c629967b802764efa10,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999809012431,6
ad91efc324861e94fa1247a95040ce8a,1,5,2,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.111111111111,0.0,0.888888888889,0.999566552653,18
49930a97eec4dd3c3b19beb8c932b09a,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.997038962575,2
25ac002664e3b783ccdc7aa16475ebf1,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.979305527975,2
7550059bbeca45559608b03329fc3f6a,0,4,3,1,3,0.00534759358289,0.0,0.0,0.0,0.0,0.0,0.0,0.994652406417,2618,0.998474446987,0.0,0.00152555301297,0.907988648886,2622
830dabbf5d79a5da7b53672c7c5c108b,1,5,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999755022539,115
84628bfc5758f93580836cf37fc2c9ee,1,6,5,1,3,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2,0.166666666667,0.0,0.833333333333,0.999295672298,12
41085efa302dbddf09819a02aba632ec,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999777510202,2
a716a548aa1893674a620b601d6a1d13,1,2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.75,0.0,0.25,0.440887466098,4
4ef45823b4325801eea632d3e61dd271,0,3,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999675048597,12
e2a122e7aa3afe4213b2392abe4649af,1,6,5,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,402,0.909502262443,0.0,0.0904977375566,0.999342989944,442
50673d8d39f3ded7116f864d6f9f9ec7,1,6,4,1,3,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.333333333333,9,0.75,0.0,0.25,0.999058677672,12
93b3d05ccb556cef8461f1d71ab5eed5,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.996427918549,2
6a967380152d646bcb0eae6f753b6701,1,2,5,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.883928571429,0.0,0.116071428571,0.999754596509,112
079f8254b7ba5cfd859a5dc7ab1cd3f4,1,9,9,1,5,0.375,0.125,0.0,0.25,0.0,0.0,0.0,0.25,8,0.123076923077,0.0461538461538,0.830769230769,0.999612507805,65
63a28cd09e5da7101bf63053a02b6ddc,1,4,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3,0.0,0.7,0.985632586623,10
f72dc9de4ad4f8898f1e71d767b427cb,1,6,2,1,4,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.25,8,0.8,0.0,0.2,0.998261816651,10
13a580cf4ccaeb873bba3a4836bb3066,1,3,1,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.885714285714,0.0,0.114285714286,0.999371570107,35
cb5a208d1afead81485feabd3adbdd93,1,5,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0588235294118,0.941176470588,0.998513699003,17
900a5e5f7acc0d2436c7ba2858948986,1,4,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0.148148148148,0.0,0.851851851852,0.971289994155,27
49fe3717fc4696bf9cfa3ec0c1a5ae3a,1,3,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.982849323804,46
65b2535e8e4672f6d0455672c174114e,1,3,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.8,0.986380636705,5
b4e5df4e5a85460b06d6551b268b5f97,1,3,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0909090909091,0.0,0.909090909091,0.737123627053,11
1b9f8c4ba97baabf30de6c70824a7e1d,1,16,9,1,5,0.302857142857,0.0857142857143,0.0,0.0,0.594285714286,0.0,0.0,0.0171428571429,175,0.757575757576,0.004329004329,0.238095238095,0.999769638221,231
d1012da1d2f297478d9b794256e311e6,0,13,4,1,5,0.0819672131148,0.180327868852,0.0,0.0,0.360655737705,0.0,0.0,0.377049180328,61,0.743902439024,0.0,0.256097560976,0.999933270162,82
4847dbfaf9fbec7b6038794983e5ec41,1,7,6,1,4,0.0,0.566666666667,0.0,0.0111111111111,0.0,0.0,0.0,0.422222222222,90,0.873786407767,0.0,0.126213592233,0.968207023232,103
999daaa270fd68e6886f0ec895fa7537,1,21,8,1,5,0.180921052632,0.322368421053,0.0,0.00328947368421,0.0,0.0,0.0,0.493421052632,304,0.935384615385,0.0,0.0646153846154,0.999258634862,325
a91926414dc7e6c1a5b77f46219fa019,1,4,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999579653735,18
cb609427d470e5b38dde8b80fa8948f4,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.788931114074,3
5a48ef6196f0bed4b6683d890f1a6aac,1,7,6,1,3,0.766666666667,0.233333333333,0.0,0.0,0.0,0.0,0.0,0.0,30,0.461538461538,0.0,0.538461538462,0.999501019464,65
39110a1be617517738e50048f8a16921,1,1,2,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0.0,0.0,0.998275965516,5
789ed533b47c7803f5a77a99d59dfc80,0,10,5,1,4,0.28,0.64,0.0,0.0,0.0,0.0,0.0,0.08,25,0.595238095238,0.0,0.404761904762,0.856412915038,42
d6591053054680bd26f9e2cd77918d2a,1,4,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0294117647059,0.0,0.970588235294,0.998127848446,34
b435f03f7960f47039c0138bb7310ca3,1,2,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999850797094,33
b651a7559e1d7cc34aa4a63f1e05f8c0,1,3,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.333333333333,0.0,0.666666666667,0.994578932626,3
aaf26f56831cc123738fdd907ba2c248,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.999379193954,2
5a40f37f7a9416334d0942a1e7b92046,0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16,1.0,0.0,0.0,0.781222446984,16
eab7ed3ad4710be01b5244d95b486f36,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.881402976847,11
8b1a1db8521435a768bf495eabf99e76,1,5,3,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.8,0.0,0.2,0.45925388504,10
c932a594f9fda83c8101e3a6a831d858,1,2,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.6,0.0,0.4,0.959849874007,5
617ef7fdd8184f4c2b47c2fbf61a50b5,1,6,4,2,3,0.0,0.833333333333,0.0,0.0,0.0,0.0,0.0,0.166666666667,12,0.48,0.0,0.52,0.995587773704,25
8a019440dc8cb8fa9f7e55e448d32371,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.981119105861,3
e0226fe8458d6954bf56bf7ed7479244,1,3,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.00793650793651,0.0,0.992063492063,0.996154110995,126
3337011a2d32803ead241a1b71cdbfb8,1,2,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.0,0.5,0.999750314487,2
32846d48b974a331a4f494ecbdf264ae,0,9,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.222009363805,111
001dd0bdf2c1dc1507ad4761be4ab3d6,1,3,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.333333333333,0.0,0.666666666667,0.999813033381,3
f2e2b348af54b387e1dd33b81caed822,0,3,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.988298115505,48
fcc7cf85a2a3074a682a2c75d74dc0f3,0,2,2,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,0.0,0.0,0.763369364992,8
b6e28d02319b28d99f099cc77c4d2e94,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.997159422168,10
cf00ac768356070058cb7b9b2eedff61,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.964541323701,77
e3e07e1028d36236d8e7ea32e37a3207,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25,0.75,0.997799838416,4
a883d1d9a82618d4c26371bb35d40162,1,4,7,1,3,0.0,0.962962962963,0.0,0.0,0.0,0.0,0.0,0.037037037037,27,0.771428571429,0.0,0.228571428571,0.999864433425,35
084e7cfb332cadf95d2af80cb61954ab,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999429631692,1
f450e329393bf41bb608c1ca263ff111,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.998059788946,6
6317b210c01d53cc72378cbe26c7f8ea,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.99325703993,26
e274459a142c7341b40ce3e1b4f5e4b6,0,10,8,1,3,0.545454545455,0.454545454545,0.0,0.0,0.0,0.0,0.0,0.0,22,0.564102564103,0.025641025641,0.410256410256,0.786795715341,39
2e35b8c9e365e2dfaef035c6d8862ba6,1,1,2,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,0.998971439904,20
d470de1a35038b197953b667d4240d5e,1,5,4,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.333333333333,0.0,0.666666666667,0.994527058958,12
ec72216a71e7e5ebac44ca7d28bebea5,1,3,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.996987943185,4
62c477d82ac9652fd5bfc2f0b20516a7,0,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.999616404,4
148adbbef6cbfa7a99c1779f9c6b9e17,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.968755953515,1
7d921a0e18b1afd63e64342f723702e8,0,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.721805826989,3
e33129c25fb848bb5c088407c28e9e3f,1,3,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.990007943995,135
eeb50acec3d40c343170970f7264196b,1,6,5,1,4,0.0714285714286,0.857142857143,0.0,0.0,0.0,0.0,0.0,0.0714285714286,14,0.150537634409,0.0,0.849462365591,0.990925558081,93
1acb0ed8605cf384b74afefaee7a3622,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.5,0.999699320575,2
b1be663c1ad7a6bac6384e7953db8168,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.997812787876,1
bf5b954ed77aaa6df99261c4196f5419,1,2,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.993433050762,2
eccf94309c73ebc5b6888e589286a5d1,0,3,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.997809585044,103
aff426a8b50b31e6668825fea2106cb6,1,3,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0.363636363636,0.0,0.636363636364,0.999225951913,11
94080db17d7cfbb036d1872f9fbf3cc5,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.991816636316,5
d2520001a21b9282d713ed8373412b37,1,3,6,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45,0.9375,0.0208333333333,0.0416666666667,0.985472968733,48
451310ff627349e95a6e6a9b5fd63073,1,5,4,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2,0.0,0.8,0.995967303393,10
eeec8359f99ae417eb8f4525a1a197a3,0,5,3,1,3,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.875,16,0.761904761905,0.0,0.238095238095,0.997789186005,21
d18d663321a8912c64b552b0066f5eb7,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.922553765088,6
7cf4974f34a60e5af42c4e0b1ffc7666,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999396082293,2
7447288f7145514a49514ccdeb9a600d,1,5,4,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.823529411765,0.0,0.176470588235,0.978502134432,17
be07cfc59efc2bf5e3e0a9ff7a75fc38,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.749772860716,3
3a36bc2ec9c2fe969d4a6dd2ec08a904,1,3,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.2,0.0,0.8,0.999677157918,5
18c81ca5af5ed03eb2f2bc46be1c2d50,1,6,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.999005373765,55
b982e7ff83fcea85972b031dea5ff206,1,2,7,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,92,1.0,0.0,0.0,0.960841098746,92
