,_label,dcnt_catid,dcnt_device,dcnt_profile,dcnt_rule,net_access,net_buf_overflow,net_ddos,net_misc,net_scan,net_trojan,net_virus,net_web_attack,network_attack,ra_network_attack,ra_weak_password,ra_web_threat,sw_rate,sw_total
b8805ad9c0435ed3bb639ed3d2f807a8,1,2,2,1,2,0,0,0,0,28,0,0,0,28,0.965517241,0,0.034482759,0.998043028,29
3d22cf0faf9c3c6c442b1e4568dadca8,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.917563563,1
6e63ce57b28bc2a4b8b404df714bddc5,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.986142899,6
a7692321403a2717cf6b388c786a431b,1,7,5,1,2,0,0,0,0,0,0,0,10,10,0.208333333,0.020833333,0.770833333,0.999052927,48
caf4a8e37767745a310fac4f5bb47e42,1,3,2,1,2,0,0,0,1,0,0,0,0,1,0.25,0.5,0.25,0.999375734,4
71024dc6002c4edae88fdf73a6181ed4,1,3,1,1,2,9,0,0,0,0,0,0,2,11,1,0,0,0.999272667,11
db1b4f4f36090933279ea1617502b217,0,4,3,1,2,0,1,0,0,0,0,0,0,1,0.111111111,0,0.888888889,0.997421791,9
6c1b0325a39a74e7c6190b880864f5ac,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999032527,4
0f31281c6a9f609762ecfe70dfc25f25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.910942389,1
ef748e8a82a51ba28ad20b14fd8d6978,1,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.998810784,37
a549a2476192ec0234d486fab60782e3,1,1,1,1,1,5,0,0,0,0,0,0,0,5,1,0,0,0.998093171,5
bd4123639e4e3bf5918ad78009d838cc,1,7,5,1,4,1,5,0,1,0,0,0,0,7,0.466666667,0,0.533333333,0.994560234,15
d984e32f5c3a9fdfcd8c2d6733f5b62a,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.993588075,8
708ddccdb0d35af1434aa7e1239ecfc0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.994580636,31
b2741b22b8407b06c455f37cc4bf52e6,1,5,5,1,3,0,4,0,0,3,0,0,0,7,0.411764706,0,0.588235294,0.999314779,17
abad1022711b667cf96b14a4e8762e47,1,4,3,1,4,1,1,0,0,0,0,0,2,4,0.8,0,0.2,0.998898901,5
6a29f384eca295532b86ff2a8eb6c0f7,1,3,3,1,2,0,1,0,0,0,0,0,0,1,0.333333333,0,0.666666667,0.979636448,3
b704ad2bf91918142e129e1729a291bd,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.998145514,5
9c5dd6d298d89effa43ae3e895512e11,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.639179718,79
c3774699425f297fff004aa3cf6c5e62,1,2,2,1,2,0,0,2,0,0,0,0,0,2,0.5,0,0.5,0.999124434,4
a531cfe50b5ab684b1c90e0cf48d20dd,1,7,5,4,2,0,0,0,0,0,0,3,0,3,0.130434783,0.130434783,0.739130435,0.998036277,23
24d0b9ddd8dfc8b83283708f197fadae,1,7,8,1,2,0,0,0,0,0,0,0,3,3,0.065217391,0,0.934782609,0.999762307,46
7dd0872f91e7a468438e3ee41e5646d9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.964329466,1
3c3eb091d5eaf8adcce7d140c0006e84,1,4,6,1,2,0,0,0,0,0,0,0,1,1,0.03125,0,0.96875,0.95137567,32
924603cfdb6d3fba5ae24c1e8d64011e,1,4,3,1,2,0,0,0,0,11,0,0,0,11,0.55,0,0.45,0.996789875,20
ba7bc63123b9aadfcea8e14256cb66a6,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0.867809337,1
6dda1374a587ce9ee47cdc431064d5c3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999649929,1
9e9fa9dc36607a2582c92fe3c90491f3,1,2,2,1,2,0,0,0,0,220,0,0,0,220,0.995475113,0,0.004524887,0.998356105,221
e131f5da971d8b25a4d4afd56e981c22,0,2,2,1,2,0,1,0,0,0,0,0,0,1,0.025,0,0.975,0.973708137,40
6191424a27d5052c57fbafa0a2b391b6,1,2,3,1,1,0,5,0,0,0,0,0,0,5,1,0,0,0.993549301,5
88cfdd83d76afd62f9cb62052749241e,1,6,7,1,2,0,0,0,0,0,0,0,2,2,0.003424658,0,0.996575342,0.999775349,584
3ea5a16a57da922ad7e54959523b70a0,1,4,3,1,2,0,0,0,0,0,0,0,1,1,0.166666667,0,0.833333333,0.998921743,6
3fa94286434f5910351fa9df4f5f34f2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.997323829,1
a9bc088f2d7c8016cba76c97c7a99e8b,1,2,4,1,2,0,0,8,0,0,0,0,0,8,0.888888889,0.111111111,0,0.999508061,9
d342d606328411ee0d289200908533d5,0,3,2,1,2,20,0,0,0,0,0,0,0,20,0.740740741,0,0.259259259,0.928965818,27
efe94dc5e220ba05421c5627f5d518b4,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999078425,4
5f4af85d52129730510d42dedbb21cd2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.998406765,1
53efc1424c8169675e505237c80db71c,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0.895665295,7
61f2e691824644232d986a9b1207fb9b,1,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999010569,33
95ee5b94bac13dadc0ba5f8f9a9c432e,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.967023208,1
c9931eef966dbc3fb5f49d10d403a11c,0,1,1,1,1,0,0,0,0,21,0,0,0,21,1,0,0,0.811880686,21
391a60f9842d172990a2191f766f2da4,1,2,1,1,2,1,0,0,0,0,0,0,0,1,0.5,0,0.5,0.998381353,2
3ca223769f9ceee21c088c1012b8c4b5,1,1,1,1,1,0,0,2,0,0,0,0,0,2,1,0,0,0.996878791,2
412f4c1b61ee50c6c4df0fa8079447a6,1,3,5,1,2,0,0,0,0,0,0,0,5,5,0.555555556,0,0.444444444,0.374813654,9
b06fecc134916fd178436a57e972751f,1,5,5,1,4,0,2,3,0,0,0,0,29,34,0.944444444,0,0.055555556,0.995135262,36
7914c1cf9d5e64e95e1c315945059c64,1,5,7,1,2,0,0,0,0,6,0,0,0,6,0.25,0,0.75,0.858502948,24
c5d9e7469f6d46d055c8cf03f17627bc,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.974819186,15
2eb6cfaef03648164aae1164dac96d81,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0.99089486,1
25f01863767dade8e9dfb4b001d12d2a,0,2,1,1,2,0,7,0,0,0,0,0,0,7,0.318181818,0,0.681818182,0.958735048,22
38bc282422052d9b64065ebe6857b214,1,4,3,1,2,0,0,0,0,0,0,0,1,1,0.142857143,0,0.857142857,0.999789633,7
c40837cf16003bc546941a71af6fb84c,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.997575802,1
8fe1e6fb41528db7a563e11381def90a,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.997975677,2
31d00a94c66155064f30c6599d80534a,1,2,3,1,2,0,0,2,0,0,0,0,0,2,0.222222222,0,0.777777778,0.998371178,9
ce06e34bf942e24086105484bc38fafa,1,6,5,1,2,0,60,0,0,0,0,0,0,60,0.64516129,0.010752688,0.344086022,0.998746767,93
e20030a20c5dc9da30efbaca462e6aeb,1,6,7,1,3,2,0,6,0,0,0,0,0,8,0.242424242,0,0.757575758,0.990076348,33
d5749b5566c2a8ba2fee173ef0dfa8c5,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0.006342495,0.993657505,0.585617131,473
d4a8ba12c85c9c629967b802764efa10,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999809012,6
ad91efc324861e94fa1247a95040ce8a,1,5,2,1,2,2,0,0,0,0,0,0,0,2,0.111111111,0,0.888888889,0.999566553,18
49930a97eec4dd3c3b19beb8c932b09a,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.997038963,2
25ac002664e3b783ccdc7aa16475ebf1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.979305528,2
7550059bbeca45559608b03329fc3f6a,0,4,3,1,3,14,0,0,0,0,0,0,2604,2618,0.998474447,0,0.001525553,0.907988649,2622
830dabbf5d79a5da7b53672c7c5c108b,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999755023,115
84628bfc5758f93580836cf37fc2c9ee,1,6,5,1,3,1,0,0,1,0,0,0,0,2,0.166666667,0,0.833333333,0.999295672,12
41085efa302dbddf09819a02aba632ec,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99977751,2
a716a548aa1893674a620b601d6a1d13,1,2,2,1,2,0,0,0,0,0,0,0,3,3,0.75,0,0.25,0.440887466,4
4ef45823b4325801eea632d3e61dd271,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999675049,12
e2a122e7aa3afe4213b2392abe4649af,1,6,5,1,2,0,402,0,0,0,0,0,0,402,0.909502262,0,0.090497738,0.99934299,442
50673d8d39f3ded7116f864d6f9f9ec7,1,6,4,1,3,0,6,0,0,0,0,0,3,9,0.75,0,0.25,0.999058678,12
93b3d05ccb556cef8461f1d71ab5eed5,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.996427919,2
6a967380152d646bcb0eae6f753b6701,1,2,5,1,2,0,99,0,0,0,0,0,0,99,0.883928571,0,0.116071429,0.999754597,112
079f8254b7ba5cfd859a5dc7ab1cd3f4,1,9,9,1,5,3,1,0,2,0,0,0,2,8,0.123076923,0.046153846,0.830769231,0.999612508,65
63a28cd09e5da7101bf63053a02b6ddc,1,4,3,1,2,3,0,0,0,0,0,0,0,3,0.3,0,0.7,0.985632587,10
f72dc9de4ad4f8898f1e71d767b427cb,1,6,2,1,4,5,1,0,0,0,0,0,2,8,0.8,0,0.2,0.998261817,10
13a580cf4ccaeb873bba3a4836bb3066,1,3,1,1,2,0,31,0,0,0,0,0,0,31,0.885714286,0,0.114285714,0.99937157,35
cb5a208d1afead81485feabd3adbdd93,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0.058823529,0.941176471,0.998513699,17
900a5e5f7acc0d2436c7ba2858948986,1,4,4,1,2,0,0,0,0,0,0,0,4,4,0.148148148,0,0.851851852,0.971289994,27
49fe3717fc4696bf9cfa3ec0c1a5ae3a,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.982849324,46
65b2535e8e4672f6d0455672c174114e,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0.986380637,5
b4e5df4e5a85460b06d6551b268b5f97,1,3,1,1,2,0,0,0,0,0,0,0,1,1,0.090909091,0,0.909090909,0.737123627,11
1b9f8c4ba97baabf30de6c70824a7e1d,1,16,9,1,5,53,15,0,0,104,0,0,3,175,0.757575758,0.004329004,0.238095238,0.999769638,231
d1012da1d2f297478d9b794256e311e6,0,13,4,1,5,5,11,0,0,22,0,0,23,61,0.743902439,0,0.256097561,0.99993327,82
4847dbfaf9fbec7b6038794983e5ec41,1,7,6,1,4,0,51,0,1,0,0,0,38,90,0.873786408,0,0.126213592,0.968207023,103
999daaa270fd68e6886f0ec895fa7537,1,21,8,1,5,55,98,0,1,0,0,0,150,304,0.935384615,0,0.064615385,0.999258635,325
a91926414dc7e6c1a5b77f46219fa019,1,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999579654,18
cb609427d470e5b38dde8b80fa8948f4,1,1,1,1,1,0,3,0,0,0,0,0,0,3,1,0,0,0.788931114,3
5a48ef6196f0bed4b6683d890f1a6aac,1,7,6,1,3,23,7,0,0,0,0,0,0,30,0.461538462,0,0.538461538,0.999501019,65
39110a1be617517738e50048f8a16921,1,1,2,1,1,0,5,0,0,0,0,0,0,5,1,0,0,0.998275966,5
789ed533b47c7803f5a77a99d59dfc80,0,10,5,1,4,7,16,0,0,0,0,0,2,25,0.595238095,0,0.404761905,0.856412915,42
d6591053054680bd26f9e2cd77918d2a,1,4,4,1,2,0,0,0,0,0,0,0,1,1,0.029411765,0,0.970588235,0.998127848,34
b435f03f7960f47039c0138bb7310ca3,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999850797,33
b651a7559e1d7cc34aa4a63f1e05f8c0,1,3,2,1,2,0,0,0,0,0,0,0,1,1,0.333333333,0,0.666666667,0.994578933,3
aaf26f56831cc123738fdd907ba2c248,1,1,1,1,1,0,2,0,0,0,0,0,0,2,1,0,0,0.999379194,2
5a40f37f7a9416334d0942a1e7b92046,0,1,1,1,1,0,0,0,0,16,0,0,0,16,1,0,0,0.781222447,16
eab7ed3ad4710be01b5244d95b486f36,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.881402977,11
8b1a1db8521435a768bf495eabf99e76,1,5,3,1,2,0,8,0,0,0,0,0,0,8,0.8,0,0.2,0.459253885,10
c932a594f9fda83c8101e3a6a831d858,1,2,3,1,2,0,0,0,0,0,0,0,3,3,0.6,0,0.4,0.959849874,5
617ef7fdd8184f4c2b47c2fbf61a50b5,1,6,4,2,3,0,10,0,0,0,0,0,2,12,0.48,0,0.52,0.995587774,25
8a019440dc8cb8fa9f7e55e448d32371,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.981119106,3
e0226fe8458d6954bf56bf7ed7479244,1,3,5,1,2,0,0,0,0,0,0,0,1,1,0.007936508,0,0.992063492,0.996154111,126
3337011a2d32803ead241a1b71cdbfb8,1,2,2,1,2,0,1,0,0,0,0,0,0,1,0.5,0,0.5,0.999750314,2
32846d48b974a331a4f494ecbdf264ae,0,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.222009364,111
001dd0bdf2c1dc1507ad4761be4ab3d6,1,3,3,1,2,0,0,0,0,0,0,0,1,1,0.333333333,0,0.666666667,0.999813033,3
f2e2b348af54b387e1dd33b81caed822,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.988298116,48
fcc7cf85a2a3074a682a2c75d74dc0f3,0,2,2,1,1,0,8,0,0,0,0,0,0,8,1,0,0,0.763369365,8
b6e28d02319b28d99f099cc77c4d2e94,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.997159422,10
cf00ac768356070058cb7b9b2eedff61,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.964541324,77
e3e07e1028d36236d8e7ea32e37a3207,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0.997799838,4
a883d1d9a82618d4c26371bb35d40162,1,4,7,1,3,0,26,0,0,0,0,0,1,27,0.771428571,0,0.228571429,0.999864433,35
084e7cfb332cadf95d2af80cb61954ab,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999429632,1
f450e329393bf41bb608c1ca263ff111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.998059789,6
6317b210c01d53cc72378cbe26c7f8ea,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99325704,26
e274459a142c7341b40ce3e1b4f5e4b6,0,10,8,1,3,12,10,0,0,0,0,0,0,22,0.564102564,0.025641026,0.41025641,0.786795715,39
2e35b8c9e365e2dfaef035c6d8862ba6,1,1,2,1,1,0,20,0,0,0,0,0,0,20,1,0,0,0.99897144,20
d470de1a35038b197953b667d4240d5e,1,5,4,1,2,0,4,0,0,0,0,0,0,4,0.333333333,0,0.666666667,0.994527059,12
ec72216a71e7e5ebac44ca7d28bebea5,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.996987943,4
62c477d82ac9652fd5bfc2f0b20516a7,0,1,1,1,1,0,4,0,0,0,0,0,0,4,1,0,0,0.999616404,4
148adbbef6cbfa7a99c1779f9c6b9e17,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0.968755954,1
7d921a0e18b1afd63e64342f723702e8,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.721805827,3
e33129c25fb848bb5c088407c28e9e3f,1,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.990007944,135
eeb50acec3d40c343170970f7264196b,1,6,5,1,4,1,12,0,0,0,0,0,1,14,0.150537634,0,0.849462366,0.990925558,93
1acb0ed8605cf384b74afefaee7a3622,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.999699321,2
b1be663c1ad7a6bac6384e7953db8168,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0.997812788,1
bf5b954ed77aaa6df99261c4196f5419,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0.993433051,2
eccf94309c73ebc5b6888e589286a5d1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.997809585,103
aff426a8b50b31e6668825fea2106cb6,1,3,4,1,2,0,0,0,0,0,0,0,4,4,0.363636364,0,0.636363636,0.999225952,11
94080db17d7cfbb036d1872f9fbf3cc5,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.991816636,5
d2520001a21b9282d713ed8373412b37,1,3,6,1,2,0,0,45,0,0,0,0,0,45,0.9375,0.020833333,0.041666667,0.985472969,48
451310ff627349e95a6e6a9b5fd63073,1,5,4,1,2,0,2,0,0,0,0,0,0,2,0.2,0,0.8,0.995967303,10
eeec8359f99ae417eb8f4525a1a197a3,0,5,3,1,3,0,2,0,0,0,0,0,14,16,0.761904762,0,0.238095238,0.997789186,21
d18d663321a8912c64b552b0066f5eb7,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.922553765,6
7cf4974f34a60e5af42c4e0b1ffc7666,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999396082,2
7447288f7145514a49514ccdeb9a600d,1,5,4,1,2,14,0,0,0,0,0,0,0,14,0.823529412,0,0.176470588,0.978502134,17
be07cfc59efc2bf5e3e0a9ff7a75fc38,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.749772861,3
3a36bc2ec9c2fe969d4a6dd2ec08a904,1,3,1,1,2,0,0,0,0,0,0,0,1,1,0.2,0,0.8,0.999677158,5
18c81ca5af5ed03eb2f2bc46be1c2d50,1,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999005374,55
b982e7ff83fcea85972b031dea5ff206,1,2,7,1,1,0,0,92,0,0,0,0,0,92,1,0,0,0.960841099,92
87323205e765f1d4dd099b84af0370ed,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.971121046,3
cca827854234bac56bf16c8c3e222b89,0,3,2,1,2,0,0,0,0,11,0,0,0,11,0.106796117,0,0.893203883,0.998067448,103
96979c6e87252c545660ba5185f3def1,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.930045895,10
336da8cc2b48d9f1079bd4fb5d8a2240,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0.904835166,1
d08105f7d0ec8ba19b45e8ee1f2b4525,1,6,4,1,2,0,0,0,0,0,0,0,7,7,0.388888889,0,0.611111111,0.999909847,18
6c365aa8ff9fdeafa7c3eb774fbc20ab,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.97174439,3
d056874f6f9fa9e61f59c9f9f155d3fb,1,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.977792074,23
529069865d38f3595f271ed087fbc0d1,1,4,2,1,2,0,23,0,0,0,0,0,0,23,0.696969697,0,0.303030303,0.999804103,33
68e04b32522da1bb223b47cd83ee9572,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999795356,1
1ee6bd1c758d3d7861ce20582d3ff88d,1,2,2,1,2,22,0,0,0,0,0,0,0,22,0.956521739,0,0.043478261,0.977462713,23
63684a4e102c14307f283b9a75b23a3c,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.976202221,2
e55b438732cf0814831d9e463b7090f8,1,2,1,1,2,0,0,0,2,0,0,0,0,2,0.666666667,0,0.333333333,0.791868953,3
67849987e3ac0c3dbeb5842d671fd112,1,6,4,2,2,0,0,0,6,0,0,0,0,6,0.12244898,0,0.87755102,0.998707544,49
b5593ac2095c4ab9b89a363d6c0de0b0,1,5,4,1,2,1,0,0,0,0,0,0,0,1,0.043478261,0,0.956521739,0.998988128,23
984b7c0265c9b245c967523018bd4f20,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0.999405612,1
29e5a2419cc515b012a1fd611da3a6bf,1,1,1,1,1,0,0,0,0,4,0,0,0,4,1,0,0,0.442769182,4
820f86441bd76c58cd647363e4fbb06e,0,3,3,1,3,0,2,0,0,0,0,0,1,3,0.75,0,0.25,0.998838398,4
bd0bcb5d20045db7b1026f322cfb2e8e,1,5,4,1,3,16,4,0,0,0,0,0,0,20,0.689655172,0,0.310344828,0.998995611,29
b2c5851094f6a3e64327af819bb21483,1,6,9,1,2,0,19,0,0,0,0,0,0,19,0.513513514,0.027027027,0.459459459,0.953421922,37
ec4657fcc61fcb2d604f8aa9352faf27,1,9,16,1,4,8,1544,0,6,0,0,0,0,1558,0.981108312,0,0.018891688,0.999752779,1588
2f71df26554bf456fe9f202171b956e0,0,3,2,1,2,0,0,0,0,1,0,0,0,1,0.25,0.25,0.5,0.998109975,4
0e0c3719e0ed0867292071b216bbe617,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.996863426,7
90902aad1856a91d8f74100c25955c54,0,1,4,1,1,0,0,13,0,0,0,0,0,13,1,0,0,0.40196061,13
58d33ac456dec729611439dfeb25529f,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.999133684,1
b497d5dbdb584ef0e0d126074f2bc283,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.998363317,9
e84c200b0c2a0f55ab14cfdf71b2508a,1,4,4,1,2,0,21,0,0,0,0,0,0,21,0.677419355,0,0.322580645,0.999694447,31
827871e24843d172217dbbe7671590eb,1,7,3,1,4,0,11,0,0,0,1,0,10,22,0.88,0,0.12,0.998749116,25
8707565e306026a8e685dddc88c1fb98,1,4,5,1,2,0,0,0,0,0,0,0,1,1,0.076923077,0,0.923076923,0.998674125,13
d728abbd97e08ba00b09febe8a5128c2,0,6,5,1,2,1,0,0,0,0,0,0,0,1,0.03125,0,0.96875,0.576707021,32
7302d5c07acf08b9cb2fda0eac354189,1,5,6,1,3,0,2,0,1,0,0,0,0,3,0.047619048,0,0.952380952,0.99979035,63
b695859f16231b26d39c2a0a0546b871,0,4,4,1,3,3,1,0,0,0,0,0,0,4,0.16,0,0.84,0.998104497,25
79d7aee368c8af69f0102659d51b23da,1,18,8,1,7,1,45,18,45,2,0,0,56,167,0.826732673,0.00990099,0.163366337,0.999600797,202
23fed1b5e154742afc7d908fc8a152dc,1,7,10,1,3,0,0,0,1,0,0,0,49,50,0.581395349,0,0.418604651,0.999747804,86
230960ddc616a8731b719bfa89d01a57,1,2,2,1,2,0,1,0,0,0,0,0,0,1,0.166666667,0,0.833333333,0.998117982,6
7e6540af788ece18db4b836ad83a286d,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.986420538,1
619da680043d66587b33bf382c473e4c,1,4,3,1,3,9,0,0,51,0,0,0,0,60,0.869565217,0.115942029,0.014492754,0.998732457,69
e416d35e65b24daf474d4364a6189798,1,7,3,1,4,0,1,0,0,14,0,0,21,36,0.857142857,0,0.142857143,0.997076796,42
2599c3ac0bb61371f067304e0fdc8d1b,1,4,8,1,2,0,1,0,0,0,0,0,0,1,0.041666667,0,0.958333333,0.999748375,24
5dcc483e2640d80c92d0964438333c4d,0,2,2,1,2,0,3,0,0,0,0,0,0,3,0.75,0,0.25,0.997499301,4
489173b3e644682204ba733458290f21,1,7,6,2,3,1,0,0,1,0,0,0,0,2,0.029411765,0,0.970588235,0.997163575,68
59193dcebc46d89f78f3efb6c5335cb1,1,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0.963509619,13
fb9bccab104de950cfd27a6420fab595,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.803804508,1
a960e818a9c97457fb54c7807a2647b1,0,2,7,1,2,0,16,0,0,0,0,0,0,16,0.888888889,0.111111111,0,0.999120837,18
b131682294fafb2be8e2aaaea7cf14fe,0,4,3,1,3,0,1,0,0,0,0,0,7,8,0.8,0,0.2,0.830023785,10
64c9b2ee2cc3712d7e0e6f3a6d5d94ef,1,1,1,1,1,0,5,0,0,0,0,0,0,5,1,0,0,0.998551941,5
a282be8cd65d051de38f172f2f5a12b5,0,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.900055772,403
b80b8b6be1c4f558c9084c5c9de55d8c,1,3,4,1,2,0,3,0,0,0,0,0,0,3,0.428571429,0,0.571428571,0.999396577,7
ea7a70cddc6d53ab8483f3ce70d90e5a,1,9,4,1,4,13,0,0,0,4,0,0,50,67,0.285106383,0,0.714893617,0.999726272,235
6be095394c820208acc4957fbce66949,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.997712466,1
badc41a91942cc1b166ae709e6774942,1,2,2,1,2,5,0,0,0,0,0,0,0,5,0.833333333,0,0.166666667,0.956289688,6
