,__EVENTCASE__,__NOTIFICATION__death_period,__NOTIFICATION__distinct_payload_app_id,__NOTIFICATION__distinct_payload_notification_id,__NOTIFICATION__distinct_payload_notification_type_id,__NOTIFICATION__distinct_payload_pmac_batch_id,__NOTIFICATION__distinct_payload_pmac_campaign_id,__NOTIFICATION__distinct_payload_pmac_request_id,__NOTIFICATION__distinct_payload_profile_id,__NOTIFICATION__entropy_for_hours_of_day,__NOTIFICATION__event_type_sent,__NOTIFICATION__hours_of_day_0,__NOTIFICATION__hours_of_day_1,__NOTIFICATION__hours_of_day_10,__NOTIFICATION__hours_of_day_11,__NOTIFICATION__hours_of_day_12,__NOTIFICATION__hours_of_day_13,__NOTIFICATION__hours_of_day_14,__NOTIFICATION__hours_of_day_15,__NOTIFICATION__hours_of_day_16,__NOTIFICATION__hours_of_day_17,__NOTIFICATION__hours_of_day_18,__NOTIFICATION__hours_of_day_19,__NOTIFICATION__hours_of_day_2,__NOTIFICATION__hours_of_day_20,__NOTIFICATION__hours_of_day_21,__NOTIFICATION__hours_of_day_22,__NOTIFICATION__hours_of_day_23,__NOTIFICATION__hours_of_day_3,__NOTIFICATION__hours_of_day_4,__NOTIFICATION__hours_of_day_5,__NOTIFICATION__hours_of_day_6,__NOTIFICATION__hours_of_day_7,__NOTIFICATION__hours_of_day_8,__NOTIFICATION__hours_of_day_9,__NOTIFICATION__live_period,__NOTIFICATION__locale,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_ARP_SPOOFING_FOUND,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_BOX_CONNECTED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_BOX_DISCONNECTED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_CONNECTED_AT_HOME,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_CONTINUE_BROWSING_REQ,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_DEFAULT_PASSWORD,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_DIAMOND_APP_INSTALLED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_GENERIC,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_IDENTIFY,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_INAPPROPRIATE_APP,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NETWORK_ATTACK,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NETWORK_CONTROL,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NETWORK_CONTROL_BLOCK,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_DEVICE_JOINED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_DEVICE_JOINED_ROUTER,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_IN_CLIENT_VERSION,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_PATTERN_UPDATE,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_RANSOMWARE,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_RENEW_SUCCESS,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_UNABLE_TO_CONTINUE,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEBSITES_FILTERING,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEBSITES_FILTERING_BLOCK,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEBSITES_FILTERING_DENIED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEB_THREATS,__NOTIFICATION__rate,__NOTIFICATION__station_final_status,__NOTIFICATION__total_event,__STATIONID__
43,CC54-BD32-A94F-FEBF-CD3C_2017-07-26 14:50:20,11698.0,1,5,4,1,1,1,1,1.8839296958518497,76,2,0,3,13,4,0,1,0,1,0,0,0,0,0,0,0,0,14,5,6,7,6,6,8,1812715.0,0,0,0,2,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0.9935880746300316,1,76,CC54-BD32-A94F-FEBF-CD3C
44,C844-C4D4-4B45-B5A2-3AD2_2017-07-29 18:35:38,5173.0,2,2,2,1,1,1,1,1.4902819797062226,62,8,8,4,0,0,0,0,0,0,0,2,0,4,0,0,2,10,4,4,2,4,6,2,2,949367.0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.9945806356988708,1,62,C844-C4D4-4B45-B5A2-3AD2
45,3B7F-696B-FB45-4DEA-A7FD_2017-10-10 00:25:08,1831.0,1,10,9,1,1,1,1,2.166649565640594,160,5,3,2,1,2,36,25,8,16,2,1,3,6,5,5,11,5,4,5,1,5,4,4,1,2670301.0,0,5,5,4,0,0,0,0,0,0,5,2,18,76,7,0,0,0,0,0,0,0,30,0,8,0.9993147793597024,1,160,3B7F-696B-FB45-4DEA-A7FD
46,C88C-44BD-3634-8B89-47E9_2017-08-09 05:27:58,964.0,2,9,9,1,1,1,1,2.3693821196946767,116,1,2,15,9,13,9,2,3,0,3,1,1,1,2,6,0,2,8,11,5,4,6,8,4,874525.0,0,0,1,1,70,0,0,1,0,0,33,3,0,0,1,0,0,0,0,0,0,5,0,0,1,0.998898901071287,1,116,C88C-44BD-3634-8B89-47E9
47,65FC-EDF4-852E-4B49-BF5F_2017-08-13 07:24:07,11223.0,5,4,4,1,1,1,1,0.5660857389596289,50,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,853146.0,0,0,20,15,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9870159619329244,0,50,65FC-EDF4-852E-4B49-BF5F
48,2AD4-A539-FB94-94E9-D99E_2017-07-13 15:13:54,1980.0,1,2,2,1,1,1,1,0.6159905783211985,6,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1065701.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9981455135007554,0,6,2AD4-A539-FB94-94E9-D99E
49,783E-587A-BD34-CC6B-9822_2017-05-29 12:08:00,1783141.0,1,3,3,1,1,1,1,2.0434812826233637,68,1,0,4,7,2,6,0,0,0,0,2,3,2,10,3,5,1,1,0,5,5,4,4,3,3158768.0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,51,0.6391797177973128,1,68,783E-587A-BD34-CC6B-9822
50,72BC-76A7-B48F-A8EB-C7FC_2017-09-06 13:18:37,1265.0,3,4,4,1,1,1,1,0.6159905783211985,18,0,0,3,0,0,6,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,1443515.0,0,0,6,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9991244341699084,1,18,72BC-76A7-B48F-A8EB-C7FC
51,D886-8B4F-F384-9A58-F4E4_2017-09-05 08:18:38,5461.0,7,6,6,1,1,1,4,1.4435149202755355,50,0,3,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,3,17,2,11,4,1,2775481.0,0,0,5,7,0,0,0,1,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,14,0.9980362769162392,1,50,D886-8B4F-F384-9A58-F4E4
52,5EAD-99F5-BDE7-4D48-7DE2_2017-10-15 15:15:08,2509.0,1,4,4,1,1,1,1,0.7097131024243333,8,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6863813.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.999634593309198,1,8,5EAD-99F5-BDE7-4D48-7DE2
54,EB9B-CEDD-66C4-CE8B-B269_2017-06-15 15:22:23,1613.0,1,5,5,1,1,1,1,1.7848617606930293,58,4,1,6,8,0,4,1,2,0,0,2,0,0,4,1,4,4,1,3,1,2,3,3,4,6784449.0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,5,0,1,0,0,0,0,0,0,0,30,0.999762306916736,1,58,EB9B-CEDD-66C4-CE8B-B269
55,4C4B-DDF9-2A69-4EC5-8AC3_2017-10-26 20:08:22,24255.0,1,3,3,1,1,1,1,0.3767701612564368,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,655718.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.9643294660229156,1,3,4C4B-DDF9-2A69-4EC5-8AC3
56,4CD3-CAA4-3AA3-49EA-9758_2017-10-21 13:59:38,335940.0,1,5,5,1,1,1,1,1.9892700410931456,67,5,7,2,2,5,3,3,0,0,2,0,0,6,0,0,0,4,6,5,1,5,9,1,1,6572947.0,0,0,13,12,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,21,0.9513756702056352,1,67,4CD3-CAA4-3AA3-49EA-9758
57,4EDF-5744-9534-4465-8D57_2017-05-25 03:34:27,21995.0,3,9,9,1,1,1,1,3.1202915653012853,1936,30,19,185,174,141,116,46,31,24,17,14,6,18,24,21,79,12,139,100,119,105,215,167,134,6829763.0,0,0,0,11,909,0,0,2,0,0,928,2,0,0,51,0,2,0,0,0,0,0,14,0,17,0.9967898749488816,1,1936,4EDF-5744-9534-4465-8D57
58,5C8C-F2E9-4F47-EBBD-EDCB_2017-05-24 07:10:45,6819.0,1,5,5,1,1,1,1,2.0482408076705214,110,4,14,3,8,0,1,0,0,3,2,0,3,0,0,8,17,7,15,4,4,7,3,3,4,4514573.0,0,0,0,80,0,0,0,0,0,0,0,6,0,0,13,0,1,0,0,0,0,0,0,0,10,0.9984918361424976,1,110,5C8C-F2E9-4F47-EBBD-EDCB
61,D84E-FD79-9F67-4379-97CA_2017-10-19 22:31:54,140026.0,1,3,3,1,1,1,1,0.4563344322932884,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,919247.0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8678093371585984,1,4,D84E-FD79-9F67-4379-97CA
62,32A9-6AF8-7235-48A9-9A5B_2017-07-28 01:45:15,368963.0,1,1,1,1,1,1,1,0.2868359830561607,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,738148.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667335072996294,1,2,32A9-6AF8-7235-48A9-9A5B
