,__EVENTCASE__,__SECURITYWARNING__death_period,__SECURITYWARNING__distinct_payload_cat_id,__SECURITYWARNING__distinct_payload_device_id,__SECURITYWARNING__distinct_payload_dip,__SECURITYWARNING__distinct_payload_dport,__SECURITYWARNING__distinct_payload_profile_id,__SECURITYWARNING__distinct_payload_rule_category,__SECURITYWARNING__distinct_payload_rule_severity,__SECURITYWARNING__distinct_payload_sip,__SECURITYWARNING__distinct_payload_url,__SECURITYWARNING__entropy_for_hours_of_day,__SECURITYWARNING__event_type_network_attack_prevented,__SECURITYWARNING__event_type_weak_password_detected,__SECURITYWARNING__event_type_web_threat_blocked,__SECURITYWARNING__hours_of_day_0,__SECURITYWARNING__hours_of_day_1,__SECURITYWARNING__hours_of_day_10,__SECURITYWARNING__hours_of_day_11,__SECURITYWARNING__hours_of_day_12,__SECURITYWARNING__hours_of_day_13,__SECURITYWARNING__hours_of_day_14,__SECURITYWARNING__hours_of_day_15,__SECURITYWARNING__hours_of_day_16,__SECURITYWARNING__hours_of_day_17,__SECURITYWARNING__hours_of_day_18,__SECURITYWARNING__hours_of_day_19,__SECURITYWARNING__hours_of_day_2,__SECURITYWARNING__hours_of_day_20,__SECURITYWARNING__hours_of_day_21,__SECURITYWARNING__hours_of_day_22,__SECURITYWARNING__hours_of_day_23,__SECURITYWARNING__hours_of_day_3,__SECURITYWARNING__hours_of_day_4,__SECURITYWARNING__hours_of_day_5,__SECURITYWARNING__hours_of_day_6,__SECURITYWARNING__hours_of_day_7,__SECURITYWARNING__hours_of_day_8,__SECURITYWARNING__hours_of_day_9,__SECURITYWARNING__live_period,__SECURITYWARNING__locale,__SECURITYWARNING__payload_rule_category_Access Control,__SECURITYWARNING__payload_rule_category_Backdoor/Trojan,__SECURITYWARNING__payload_rule_category_Buffer Overflow,__SECURITYWARNING__payload_rule_category_DoS/DDoS,__SECURITYWARNING__payload_rule_category_Misc,__SECURITYWARNING__payload_rule_category_Scan,__SECURITYWARNING__payload_rule_category_Virus/Worm,__SECURITYWARNING__payload_rule_category_Web Attack,__SECURITYWARNING__rate,__SECURITYWARNING__station_final_status,__SECURITYWARNING__total_event,__STATIONID__
27,D3C5-982B-34F8-CBB8-A958_2017-08-23 08:45:35,1067.0,3,1,2,1,1,2,2,1,1,0.3445982481028228,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,1465936.0,0,9,0,0,0,0,0,0,2,0.9992726667907292,1,11,D3C5-982B-34F8-CBB8-A958
28,5BE3-98FD-C8E7-4533-9B42_2017-10-15 01:40:37,2987.0,4,3,2,2,1,2,2,2,7,0.6749754468353846,1,0,8,0,0,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1155569.0,0,0,0,1,0,0,0,0,0,0.9974217905737832,0,9,5BE3-98FD-C8E7-4533-9B42
29,369F-CABD-AE4C-3F92-35F7_2017-06-15 16:46:37,1403.0,2,2,1,1,1,1,1,1,4,0.4563344322932884,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1448766.0,0,0,0,0,0,0,0,0,0,0.9990325265538016,1,4,369F-CABD-AE4C-3F92-35F7
30,ACA2-4B84-34B8-F94A-E4D4_2017-07-04 06:53:18,156791.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1603766.0,0,0,0,0,0,0,0,0,0,0.9109423892552186,1,1,ACA2-4B84-34B8-F94A-E4D4
33,53B2-3BEB-9949-A88C-F58B_2017-09-21 06:38:33,4202.0,6,6,1,2,1,1,1,1,12,1.3122356595190778,0,0,37,0,0,5,1,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,7,4,8,3529219.0,0,0,0,0,0,0,0,0,0,0.9988107842229952,1,37,53B2-3BEB-9949-A88C-F58B
34,A53D-38B7-8724-C249-C7C6_2017-09-12 16:29:23,1346.0,1,1,3,1,1,1,1,1,1,0.1732052067491771,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,704538.0,0,5,0,0,0,0,0,0,0,0.998093171115934,1,5,A53D-38B7-8724-C249-C7C6
35,4C6E-933A-7447-AB4B-4D77_2017-10-12 12:03:56,27244.0,7,5,6,3,1,4,3,5,6,1.0375825873520506,7,0,8,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,3,1,0,1,4,0,0,1,1,4981060.0,0,1,0,5,0,1,0,0,0,0.9945602343627704,1,15,4C6E-933A-7447-AB4B-4D77
36,CC54-BD32-A94F-FEBF-CD3C_2017-07-26 14:50:20,11698.0,3,1,1,1,1,1,1,1,6,0.623848004006291,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1812715.0,0,0,0,0,0,0,0,0,0,0.9935880746300316,1,8,CC54-BD32-A94F-FEBF-CD3C
37,C844-C4D4-4B45-B5A2-3AD2_2017-07-29 18:35:38,5173.0,1,1,1,1,1,1,1,1,1,1.493752093591498,0,0,31,5,4,1,0,0,0,0,0,0,0,0,0,2,0,0,1,7,1,2,1,2,3,1,1,949367.0,0,0,0,0,0,0,0,0,0,0.9945806356988708,1,31,C844-C4D4-4B45-B5A2-3AD2
38,3B7F-696B-FB45-4DEA-A7FD_2017-10-10 00:25:08,1831.0,5,5,3,3,1,3,3,3,5,1.033867842224612,7,0,10,3,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,4,1,0,0,0,1,0,2670301.0,0,0,0,4,0,0,3,0,0,0.9993147793597024,1,17,3B7F-696B-FB45-4DEA-A7FD
39,C88C-44BD-3634-8B89-47E9_2017-08-09 05:27:58,964.0,4,3,3,2,1,4,3,5,2,0.5442837329694393,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,874525.0,0,1,0,1,0,0,0,0,2,0.998898901071287,1,5,C88C-44BD-3634-8B89-47E9
40,A53D-38B7-8724-C249-C7C6_2017-10-27 15:08:15,26950.0,3,3,2,3,1,2,2,2,3,0.3767701612564368,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1296493.0,0,0,0,1,0,0,0,0,0,0.9796364482641112,1,3,A53D-38B7-8724-C249-C7C6
41,2AD4-A539-FB94-94E9-D99E_2017-07-13 15:13:54,1980.0,2,3,1,1,1,1,1,1,3,0.5442837329694393,0,0,5,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1065701.0,0,0,0,0,0,0,0,0,0,0.9981455135007554,0,5,2AD4-A539-FB94-94E9-D99E
42,783E-587A-BD34-CC6B-9822_2017-05-29 12:08:00,1783141.0,4,3,1,1,1,1,1,1,20,1.943244258377852,0,0,79,1,0,0,5,0,2,0,0,0,0,3,4,2,22,5,5,1,1,0,3,10,4,6,5,3158768.0,0,0,0,0,0,0,0,0,0,0.6391797177973128,1,79,783E-587A-BD34-CC6B-9822
43,72BC-76A7-B48F-A8EB-C7FC_2017-09-06 13:18:37,1265.0,2,2,2,2,1,2,2,2,2,0.4563344322932884,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1443515.0,0,0,0,0,2,0,0,0,0,0.9991244341699084,1,4,72BC-76A7-B48F-A8EB-C7FC
44,D886-8B4F-F384-9A58-F4E4_2017-09-05 08:18:38,5461.0,7,5,2,3,4,2,2,2,7,1.0408500236214475,3,3,17,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,3,0,5,3,0,2775481.0,0,0,0,0,0,0,0,3,0,0.9980362769162392,1,23,D886-8B4F-F384-9A58-F4E4
47,EB9B-CEDD-66C4-CE8B-B269_2017-06-15 15:22:23,1613.0,7,8,2,1,1,2,2,2,25,1.619218718476949,3,0,43,5,2,5,7,0,1,0,0,0,0,0,0,0,1,0,3,3,0,5,1,1,4,3,5,6784449.0,0,0,0,0,0,0,0,0,3,0.999762306916736,1,46,EB9B-CEDD-66C4-CE8B-B269
48,4C4B-DDF9-2A69-4EC5-8AC3_2017-10-26 20:08:22,24255.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,655718.0,0,0,0,0,0,0,0,0,0,0.9643294660229156,1,1,4C4B-DDF9-2A69-4EC5-8AC3
49,4CD3-CAA4-3AA3-49EA-9758_2017-10-21 13:59:38,335940.0,4,6,2,2,1,2,2,2,15,1.4298983731002697,1,0,31,0,3,1,0,5,0,1,0,0,0,0,0,5,0,0,0,2,4,2,1,5,2,1,0,6572947.0,0,0,0,0,0,0,0,0,1,0.9513756702056352,1,32,4CD3-CAA4-3AA3-49EA-9758
50,4EDF-5744-9534-4465-8D57_2017-05-25 03:34:27,21995.0,4,3,2,1,1,2,2,2,6,0.7892773734611849,11,0,9,0,1,0,4,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6829763.0,0,0,0,0,0,0,11,0,0,0.9967898749488816,1,20,4EDF-5744-9534-4465-8D57
53,D84E-FD79-9F67-4379-97CA_2017-10-19 22:31:54,140026.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919247.0,0,0,0,1,0,0,0,0,0,0.8678093371585984,1,1,D84E-FD79-9F67-4379-97CA
55,8F92-2469-944D-9F8F-E29C_2017-07-27 08:48:11,2030.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5796797.0,0,0,0,0,0,0,0,0,0,0.9996499292011988,1,1,8F92-2469-944D-9F8F-E29C
58,49D8-7595-54B9-B76A-CD3F_2017-05-16 09:53:19,2704.0,2,2,2,1,1,2,2,2,2,2.4053423787511488,220,0,1,6,4,6,23,2,9,33,3,3,0,4,11,3,37,2,13,13,14,6,2,6,11,3,7,1642170.0,0,0,0,0,0,0,220,0,0,0.9983561050876846,1,221,49D8-7595-54B9-B76A-CD3F
59,D3BA-A5DD-44D6-4D83-4F86_2017-10-02 22:42:32,47714.0,2,2,2,3,1,2,2,2,3,1.1563745537147718,1,0,39,2,0,9,4,12,0,0,1,0,0,0,0,1,0,2,0,9,0,0,0,0,0,0,0,1767068.0,0,0,0,1,0,0,0,0,0,0.9737081368450866,0,40,D3BA-A5DD-44D6-4D83-4F86
60,783E-587A-BD34-CC6B-9822_2017-10-30 11:32:08,27647.0,2,3,2,1,1,1,1,3,1,0.4563344322932884,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,4258245.0,0,0,0,5,0,0,0,0,0,0.993549300822326,1,5,783E-587A-BD34-CC6B-9822
61,96FD-63F5-9C48-6C87-74B8_2017-07-11 23:29:37,1264.0,6,7,3,1,1,2,3,3,24,2.5539429400241973,2,0,582,0,0,1,10,35,88,82,200,94,19,2,0,2,0,1,0,2,11,2,5,6,14,7,3,5625243.0,0,0,0,0,0,0,0,0,2,0.9997753490753676,1,584,96FD-63F5-9C48-6C87-74B8
62,F3D4-9E59-F464-EE68-F92D_2017-10-22 19:02:12,10510.0,4,3,2,3,1,2,2,2,5,0.5623351446188083,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,9736703.0,0,0,0,0,0,0,0,0,1,0.9989217430664541,1,6,F3D4-9E59-F464-EE68-F92D
63,C532-347C-4E94-EAAA-D876_2017-07-30 01:41:35,1980.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,737883.0,0,0,0,0,0,0,0,0,0,0.9973238288710208,1,1,C532-347C-4E94-EAAA-D876
64,64A8-A668-46B8-447A-844C_2017-07-31 08:44:20,3072.0,2,4,2,1,1,2,2,2,1,0.4563344322932884,8,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6241599.0,0,0,0,0,8,0,0,0,0,0.9995080605527497,1,9,64A8-A668-46B8-447A-844C
65,82CC-CB97-343D-7ADD-A589_2017-10-27 05:24:46,180935.0,3,2,19,2,1,2,2,2,3,0.7892773734611849,20,0,7,1,0,0,15,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2366219.0,0,20,0,0,0,0,0,0,0,0.9289658183211538,0,27,82CC-CB97-343D-7ADD-A589
66,6294-F4BF-2C4E-D899-35F5_2017-09-04 08:35:32,2228.0,2,2,1,1,1,1,1,1,2,0.4563344322932884,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2415373.0,0,0,0,0,0,0,0,0,0,0.9990784252653768,1,4,6294-F4BF-2C4E-D899-35F5
67,6662-9AB4-448E-B64B-E945_2017-04-25 13:39:09,1274.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,798357.0,0,0,0,0,0,0,0,0,0,0.9984067651204118,1,1,6662-9AB4-448E-B64B-E945
68,9DB5-3F87-D524-FBAE-4CA3_2017-05-23 13:17:02,77237.0,2,3,1,1,2,1,1,1,4,0.5140966973399506,0,0,7,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,663044.0,0,0,0,0,0,0,0,0,0,0.8956652946651339,0,7,9DB5-3F87-D524-FBAE-4CA3
69,AE7C-66F8-BC74-ED9B-2243_2017-08-17 04:14:54,4911.0,3,4,1,3,1,1,1,1,6,0.95251274687916,0,0,33,0,6,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,2,0,0,4958547.0,0,0,0,0,0,0,0,0,0,0.99901056884132,1,33,AE7C-66F8-BC74-ED9B-2243
70,8FED-2BE4-E839-474C-9245_2017-06-23 08:22:51,82175.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2409729.0,0,0,0,0,0,0,0,0,0,0.9670232079566468,1,1,8FED-2BE4-E839-474C-9245
71,6682-7C2D-B4BA-4CAA-98A9_2017-11-07 09:52:40,137240.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,592297.0,0,0,0,0,0,0,21,0,0,0.8118806859693203,0,21,6682-7C2D-B4BA-4CAA-98A9
72,23B4-64F3-AAD4-449A-83D6_2017-10-02 06:02:56,1115.0,2,1,2,2,1,2,2,2,2,0.2868359830561607,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,687732.0,0,1,0,0,0,0,0,0,0,0.9983813531887342,1,2,23B4-64F3-AAD4-449A-83D6
74,369F-CABD-AE4C-3F92-35F7_2017-07-15 19:47:28,5621.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1795284.0,0,0,0,0,2,0,0,0,0,0.9968787914964976,1,2,369F-CABD-AE4C-3F92-35F7
75,99CD-ABB5-FD54-CBE8-AAA4_2017-08-07 17:04:54,2310323.0,3,5,5,2,1,2,2,6,3,0.7356219397587946,5,0,4,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1385092.0,0,0,0,0,0,0,0,0,5,0.374813654217456,1,9,99CD-ABB5-FD54-CBE8-AAA4
77,2C3B-E999-CD4A-3A2F-22B7_2017-10-28 01:20:46,5131.0,5,5,4,2,1,4,3,9,2,0.95251274687916,34,0,2,0,0,1,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,10,0,0,4,5,1049602.0,0,0,0,2,3,0,0,0,29,0.9951352617202648,1,36,2C3B-E999-CD4A-3A2F-22B7
78,679B-76DF-86B4-7EFA-BF3E_2017-05-02 10:00:28,86572.0,5,7,2,1,1,2,2,2,15,1.3114896151301974,6,0,18,0,2,0,4,0,0,1,0,0,0,0,1,2,0,2,0,0,0,1,1,3,1,4,2,525257.0,0,0,0,0,0,0,6,0,0,0.8585029477190522,1,24,679B-76DF-86B4-7EFA-BF3E
81,53B2-3BEB-9949-A88C-F58B_2017-08-10 20:22:53,50121.0,2,2,1,2,1,1,1,1,4,0.4563344322932884,0,0,15,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1940323.0,0,0,0,0,0,0,0,0,0,0.9748191860710474,1,15,53B2-3BEB-9949-A88C-F58B
83,5F52-DB49-8C84-7748-C78A_2017-08-28 17:54:39,5671.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,617164.0,0,0,0,0,0,1,0,0,0,0.9908948597943276,1,1,5F52-DB49-8C84-7748-C78A
84,6DA3-FAFD-9F94-4A79-22AD_2017-11-04 10:32:08,394072.0,2,1,2,2,1,2,2,2,2,0.7892773734611849,7,0,15,1,3,7,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9155727.0,0,0,0,7,0,0,0,0,0,0.9587350477219468,0,22,6DA3-FAFD-9F94-4A79-22AD
85,DF82-37E9-EAF4-2582-DB39_2017-05-03 17:11:19,1462.0,4,3,2,1,1,2,2,2,4,0.6159905783211985,1,0,6,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6948288.0,0,0,0,0,0,0,0,0,1,0.9997896327206016,1,7,DF82-37E9-EAF4-2582-DB39
87,CC54-BD32-A94F-FEBF-CD3C_2017-08-15 13:13:39,3676.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1512702.0,0,0,0,0,0,0,0,0,0,0.9975758023395224,1,1,CC54-BD32-A94F-FEBF-CD3C
